temp,datetime
-0.16,1880-01-01
-0.08,1881-01-01
-0.11,1882-01-01
-0.17,1883-01-01
-0.28,1884-01-01
-0.33,1885-01-01
-0.31,1886-01-01
-0.36,1887-01-01
-0.17,1888-01-01
-0.1,1889-01-01
-0.35,1890-01-01
-0.22,1891-01-01
-0.27,1892-01-01
-0.31,1893-01-01
-0.3,1894-01-01
-0.22,1895-01-01
-0.11,1896-01-01
-0.11,1897-01-01
-0.27,1898-01-01
-0.17,1899-01-01
-0.08,1900-01-01
-0.15,1901-01-01
-0.28,1902-01-01
-0.37,1903-01-01
-0.47,1904-01-01
-0.26,1905-01-01
-0.22,1906-01-01
-0.38,1907-01-01
-0.43,1908-01-01
-0.48,1909-01-01
-0.43,1910-01-01
-0.44,1911-01-01
-0.36,1912-01-01
-0.34,1913-01-01
-0.15,1914-01-01
-0.14,1915-01-01
-0.36,1916-01-01
-0.46,1917-01-01
-0.3,1918-01-01
-0.28,1919-01-01
-0.27,1920-01-01
-0.19,1921-01-01
-0.29,1922-01-01
-0.27,1923-01-01
-0.27,1924-01-01
-0.22,1925-01-01
-0.11,1926-01-01
-0.22,1927-01-01
-0.2,1928-01-01
-0.36,1929-01-01
-0.16,1930-01-01
-0.09,1931-01-01
-0.16,1932-01-01
-0.29,1933-01-01
-0.13,1934-01-01
-0.2,1935-01-01
-0.15,1936-01-01
-0.03,1937-01-01
0.0,1938-01-01
-0.02,1939-01-01
0.13,1940-01-01
0.19,1941-01-01
0.07,1942-01-01
0.09,1943-01-01
0.2,1944-01-01
0.09,1945-01-01
-0.07,1946-01-01
-0.03,1947-01-01
-0.11,1948-01-01
-0.11,1949-01-01
-0.17,1950-01-01
-0.07,1951-01-01
0.01,1952-01-01
0.08,1953-01-01
-0.13,1954-01-01
-0.14,1955-01-01
-0.19,1956-01-01
0.05,1957-01-01
0.06,1958-01-01
0.03,1959-01-01
-0.03,1960-01-01
0.06,1961-01-01
0.03,1962-01-01
0.05,1963-01-01
-0.2,1964-01-01
-0.11,1965-01-01
-0.06,1966-01-01
-0.02,1967-01-01
-0.08,1968-01-01
0.05,1969-01-01
0.03,1970-01-01
-0.08,1971-01-01
0.01,1972-01-01
0.16,1973-01-01
-0.07,1974-01-01
-0.01,1975-01-01
-0.1,1976-01-01
0.18,1977-01-01
0.07,1978-01-01
0.16,1979-01-01
0.26,1980-01-01
0.32,1981-01-01
0.14,1982-01-01
0.31,1983-01-01
0.16,1984-01-01
0.12,1985-01-01
0.18,1986-01-01
0.32,1987-01-01
0.39,1988-01-01
0.27,1989-01-01
0.45,1990-01-01
0.4,1991-01-01
0.22,1992-01-01
0.23,1993-01-01
0.31,1994-01-01
0.45,1995-01-01
0.33,1996-01-01
0.46,1997-01-01
0.61,1998-01-01
0.38,1999-01-01
0.39,2000-01-01
0.53,2001-01-01
0.63,2002-01-01
0.62,2003-01-01
0.53,2004-01-01
0.67,2005-01-01
0.63,2006-01-01
0.66,2007-01-01
0.54,2008-01-01
0.65,2009-01-01
0.72,2010-01-01
0.61,2011-01-01
0.65,2012-01-01
0.67,2013-01-01
0.74,2014-01-01
0.9,2015-01-01
1.01,2016-01-01
0.92,2017-01-01
0.85,2018-01-01
0.97,2019-01-01
1.02,2020-01-01
0.85,2021-01-01
0.89,2022-01-01
